Scuola;Tipo corso;Corso di laurea - Sede;Classe di laurea;Donne N.;Donne voto medio;Donne durata media;Uomini N.;Uomini voto medio;Uomini durata media;Totale N.;Totale voto medio;Totale durata media
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - FELTRE (BL);L/SNT1;56;98,1;3,4;9;98,4;3,3;65;98,2;3,4
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - MESTRE (VE);L/SNT1;57;100,9;3,3;13;99,5;3,3;70;100,7;3,3
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - MIRANO (VE);L/SNT1;1;88,0;5,6;;;;1;88,0;5,6
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - MONSELICE (PD);L/SNT1;49;98,8;3,4;8;97,9;3,6;57;98,7;3,5
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - MONTECCHIO PRECALCINO;L/SNT1;45;96,7;3,5;6;90,5;3,6;51;96,0;3,5
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - PADOVA;L/SNT1;69;100,6;3,3;14;98,8;3,4;83;100,3;3,3
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - PORTOGRUARO (VE);L/SNT1;24;99,0;3,6;4;96,8;3,4;28;98,7;3,6
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - ROVIGO;L/SNT1;41;99,7;3,4;14;96,7;3,5;55;98,9;3,4
;;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - TREVISO;L/SNT1;73;100,5;3,5;9;102,6;3,4;82;100,7;3,5
;;LOGOPEDIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI LOGOPEDISTA) - PADOVA;L/SNT2;23;106,8;3,5;5;102,6;4,4;28;106,1;3,6
;;ORTOTTICA ED ASSISTENZA OFTALMOLOGICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI ORTOTTISTA ED ASSISTENTE DI OFTALMOLOGIA) - PADOVA;L/SNT2;5;106,0;3,2;3;109,3;3,2;8;107,3;3,2
;;OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O) - PADOVA;L/SNT1;9;107,2;3,4;;;;9;107,2;3,4
;;OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O) - TREVISO;L/SNT1;8;109,3;3,2;;;;8;109,3;3,2
;;OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O) - VICENZA;L/SNT1;10;109,4;3,2;;;;10;109,4;3,2
;;SCIENZE FARMACEUTICHE APPLICATE - PADOVA;L-29;24;100,9;4,0;6;97,7;3,8;30;100,2;4,0
;;SCIENZE MOTORIE - PADOVA;L-22;43;98,6;3,3;63;97,6;3,6;106;98,0;3,5
;;TECNICA DELLA RIABILITAZIONE PSICHIATRICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DELLA RIABILITAZIONE PSICHIATRICA) - ROVIGO;L/SNT2;10;109,3;3,2;1;106,0;3,2;11;109,0;3,2
;;TECNICHE AUDIOMETRICHE (ABILITANTE ALLA PROFESSIONE SANITARIA DI AUDIOMETRISTA) - VENEZIA;L/SNT3;8;109,5;3,1;2;105,5;3,1;10;108,7;3,1
;;TECNICHE AUDIOPROTESICHE (ABILITANTE ALLA PROFESSIONE SANITARIA DI AUDIOPROTESISTA) - PADOVA;L/SNT3;13;106,5;3,3;13;105,4;3,4;26;106,0;3,3
;;TECNICHE AUDIOPROTESICHE (ABILITANTE ALLA PROFESSIONE SANITARIA DI AUDIOPROTESISTA) - TREVISO;L/SNT3;9;105,8;3,2;8;101,5;3,2;17;103,8;3,2
;;TECNICHE DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO) - FELTRE (BL);L/SNT4;5;108,6;3,1;4;109,3;3,1;9;108,9;3,1
;;TECNICHE DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO) - PADOVA;L/SNT4;6;109,2;3,1;4;106,5;3,9;10;108,1;3,5
;;TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO) - PADOVA;L/SNT3;16;109,9;3,2;1;110,0;3,1;17;109,9;3,2
;;TECNICHE DI NEUROFISIOPATOLOGIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI NEUROFISIOPATOLOGIA) - PADOVA;L/SNT3;4;109,3;3,1;2;108,0;3,1;6;108,8;3,1
;;TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA) - PADOVA;L/SNT3;10;108,8;3,2;7;106,1;3,1;17;107,7;3,2
